date,mine,state,planned_production_tonnes,actual_production_tonnes,shortfall_tonnes,shortfall_pct,rainfall_mm,equipment_downtime_hrs,blasting_delayed,blasting_delay_hrs,transport_availability_pct,labour_attendance_pct,primary_shortfall_cause,financial_year,national_annual_production_000t,state_annual_production_000t,actual_production_calibrated
01-04-2022,Balaghat,Madhya Pradesh,2633.37,2512.46,120.91,4.6,4.8,0,FALSE,0,91.2,100,transport_issue,2022-23,2827,855.9,2512.46
02-04-2022,Balaghat,Madhya Pradesh,2633.37,2542.6,90.77,3.4,5.7,0,FALSE,0,88.6,91.3,transport_issue,2022-23,2827,855.9,2542.6
03-04-2022,Balaghat,Madhya Pradesh,2633.37,2527.09,106.28,4,0.6,0,FALSE,0,88.6,100,transport_issue,2022-23,2827,855.9,2527.09
04-04-2022,Balaghat,Madhya Pradesh,2633.37,2505.51,127.86,4.9,2.8,0,FALSE,0,88.4,98.8,transport_issue,2022-23,2827,855.9,2505.51
05-04-2022,Balaghat,Madhya Pradesh,2633.37,2596.94,36.43,1.4,2,0,FALSE,0,100,98.3,none,2022-23,2827,855.9,2596.94
06-04-2022,Balaghat,Madhya Pradesh,2633.37,2657.94,-24.57,-0.9,1.1,0,FALSE,0,93.3,98.5,none,2022-23,2827,855.9,2657.94
07-04-2022,Balaghat,Madhya Pradesh,2633.37,2512.09,121.28,4.6,3,0,FALSE,0,90.2,96.4,transport_issue,2022-23,2827,855.9,2512.09
08-04-2022,Balaghat,Madhya Pradesh,2633.37,2639.69,-6.32,-0.2,0.5,0,FALSE,0,95.5,98.6,none,2022-23,2827,855.9,2639.69
09-04-2022,Balaghat,Madhya Pradesh,2633.37,2529.74,103.63,3.9,1.6,0,TRUE,2.6,90.1,99.7,transport_issue,2022-23,2827,855.9,2529.74
10-04-2022,Balaghat,Madhya Pradesh,2633.37,2644.97,-11.6,-0.4,1.5,0,FALSE,0,94.2,100,none,2022-23,2827,855.9,2644.97
11-04-2022,Balaghat,Madhya Pradesh,2633.37,2488.03,145.34,5.5,21.8,0,TRUE,4.2,86.5,95.4,transport_issue,2022-23,2827,855.9,2488.03
12-04-2022,Balaghat,Madhya Pradesh,2633.37,2506.04,127.33,4.8,0.4,0,FALSE,0,90.7,93.3,transport_issue,2022-23,2827,855.9,2506.04
13-04-2022,Balaghat,Madhya Pradesh,2633.37,2528.82,104.55,4,6.3,0,FALSE,0,94,92.2,labour_shortage,2022-23,2827,855.9,2528.82
14-04-2022,Balaghat,Madhya Pradesh,2633.37,2366.14,267.23,10.1,2.6,0,TRUE,3.6,83.5,93.3,transport_issue,2022-23,2827,855.9,2366.14
15-04-2022,Balaghat,Madhya Pradesh,2633.37,2535.29,98.08,3.7,4.6,0,FALSE,0,91,94.9,transport_issue,2022-23,2827,855.9,2535.29
16-04-2022,Balaghat,Madhya Pradesh,2633.37,2515.41,117.96,4.5,0.6,0,FALSE,0,90.8,96.2,transport_issue,2022-23,2827,855.9,2515.41
17-04-2022,Balaghat,Madhya Pradesh,2633.37,2578.89,54.48,2.1,4.3,0,FALSE,0,92,91.8,labour_shortage,2022-23,2827,855.9,2578.89
18-04-2022,Balaghat,Madhya Pradesh,2633.37,2461.49,171.88,6.5,8.3,0,FALSE,0,86.1,92.7,transport_issue,2022-23,2827,855.9,2461.49
19-04-2022,Balaghat,Madhya Pradesh,2633.37,2589.85,43.52,1.7,10,0,FALSE,0,97.2,97.1,labour_shortage,2022-23,2827,855.9,2589.85
20-04-2022,Balaghat,Madhya Pradesh,2633.37,2626.81,6.56,0.2,1.5,0,FALSE,0,96.9,90.1,labour_shortage,2022-23,2827,855.9,2626.81
21-04-2022,Balaghat,Madhya Pradesh,2633.37,2567.43,65.94,2.5,8.2,0,FALSE,0,100,89.2,labour_shortage,2022-23,2827,855.9,2567.43
22-04-2022,Balaghat,Madhya Pradesh,2633.37,2265.97,367.4,14,7.4,6.7,FALSE,0,93.4,98.4,equipment_failure,2022-23,2827,855.9,2265.97
23-04-2022,Balaghat,Madhya Pradesh,2633.37,2562.3,71.07,2.7,4.1,0,FALSE,0,87.7,90.2,transport_issue,2022-23,2827,855.9,2562.3
24-04-2022,Balaghat,Madhya Pradesh,2633.37,2610.42,22.95,0.9,5.3,0,FALSE,0,94.5,98.8,transport_issue,2022-23,2827,855.9,2610.42
25-04-2022,Balaghat,Madhya Pradesh,2633.37,2597.18,36.19,1.4,2.7,0,FALSE,0,87.5,96.1,transport_issue,2022-23,2827,855.9,2597.18
26-04-2022,Balaghat,Madhya Pradesh,2633.37,2483.53,149.84,5.7,6,0,FALSE,0,86.2,98.9,transport_issue,2022-23,2827,855.9,2483.53
27-04-2022,Balaghat,Madhya Pradesh,2633.37,2500.59,132.78,5,1.3,4.2,FALSE,0,94.9,96.9,equipment_failure,2022-23,2827,855.9,2500.59
28-04-2022,Balaghat,Madhya Pradesh,2633.37,2542.75,90.62,3.4,3.1,0,FALSE,0,86.4,92.9,transport_issue,2022-23,2827,855.9,2542.75
29-04-2022,Balaghat,Madhya Pradesh,2633.37,2643.1,-9.73,-0.4,3.8,0,FALSE,0,94.3,95.2,none,2022-23,2827,855.9,2643.1
30-04-2022,Balaghat,Madhya Pradesh,2633.37,2638.75,-5.38,-0.2,1.2,0,FALSE,0,97.4,92.6,none,2022-23,2827,855.9,2638.75
01-05-2022,Balaghat,Madhya Pradesh,2633.37,2589.16,44.21,1.7,4.8,0,FALSE,0,100,93.7,labour_shortage,2022-23,2827,855.9,2589.16
02-05-2022,Balaghat,Madhya Pradesh,2633.37,2534.35,99.02,3.8,5.7,0,FALSE,0,81.3,96.4,transport_issue,2022-23,2827,855.9,2534.35
03-05-2022,Balaghat,Madhya Pradesh,2633.37,2524.57,108.8,4.1,2.3,0,FALSE,0,98.5,92.1,labour_shortage,2022-23,2827,855.9,2524.57
04-05-2022,Balaghat,Madhya Pradesh,2633.37,2551.55,81.82,3.1,3.9,0,FALSE,0,92.1,96.8,transport_issue,2022-23,2827,855.9,2551.55
05-05-2022,Balaghat,Madhya Pradesh,2633.37,2592.16,41.21,1.6,1.9,0,FALSE,0,97.1,97,labour_shortage,2022-23,2827,855.9,2592.16
06-05-2022,Balaghat,Madhya Pradesh,2633.37,2586.5,46.87,1.8,6.1,0,FALSE,0,97.7,100,transport_issue,2022-23,2827,855.9,2586.5
07-05-2022,Balaghat,Madhya Pradesh,2633.37,2607.08,26.29,1,12.4,0,FALSE,0,98.2,96.8,labour_shortage,2022-23,2827,855.9,2607.08
08-05-2022,Balaghat,Madhya Pradesh,2633.37,2505.19,128.18,4.9,5.8,0,FALSE,0,80,89.8,transport_issue,2022-23,2827,855.9,2505.19
09-05-2022,Balaghat,Madhya Pradesh,2633.37,2494.15,139.22,5.3,2.3,0,FALSE,0,92.8,91.1,labour_shortage,2022-23,2827,855.9,2494.15
10-05-2022,Balaghat,Madhya Pradesh,2633.37,2553.04,80.33,3.1,4.7,0,FALSE,0,80.6,100,transport_issue,2022-23,2827,855.9,2553.04
11-05-2022,Balaghat,Madhya Pradesh,2633.37,2349.26,284.11,10.8,0.4,4.8,FALSE,0,89.1,95.8,transport_issue,2022-23,2827,855.9,2349.26
12-05-2022,Balaghat,Madhya Pradesh,2633.37,2577.03,56.34,2.1,2,0,FALSE,0,97.1,98.3,transport_issue,2022-23,2827,855.9,2577.03
