mine_id,mine_name,latitude,longitude,date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,relative_humidity_pct,wind_speed_m_s,solar_radiation_mj_m2_day
M01,Gumagaon,21.4125,79.016666,2015-01-01,15.29,20.09,26.87,15.81,80.26,2.74,6.57
M01,Gumagaon,21.4125,79.016666,2015-01-02,5.69,20.92,27.14,16.06,78.51,2.04,3.25
M01,Gumagaon,21.4125,79.016666,2015-01-03,2.17,19.38,22.93,16.56,83.52,1.88,9.55
M01,Gumagaon,21.4125,79.016666,2015-01-04,0.0,18.65,26.32,13.17,67.75,2.64,12.89
M01,Gumagaon,21.4125,79.016666,2015-01-05,0.0,16.14,26.02,9.0,54.98,2.05,17.6
M01,Gumagaon,21.4125,79.016666,2015-01-06,0.0,17.33,26.99,8.42,41.54,1.33,18.37
M01,Gumagaon,21.4125,79.016666,2015-01-07,0.0,17.33,27.06,10.36,43.25,1.36,18.26
M01,Gumagaon,21.4125,79.016666,2015-01-08,0.0,16.65,26.18,9.69,47.01,2.16,17.15
M01,Gumagaon,21.4125,79.016666,2015-01-09,0.0,15.42,25.43,7.82,46.55,1.78,18.06
M01,Gumagaon,21.4125,79.016666,2015-01-10,0.0,16.18,26.96,7.77,40.8,1.46,18.17
M01,Gumagaon,21.4125,79.016666,2015-01-11,0.0,16.47,27.78,8.29,40.76,1.98,18.13
M01,Gumagaon,21.4125,79.016666,2015-01-12,0.0,16.67,27.91,7.71,41.49,1.66,18.09
M01,Gumagaon,21.4125,79.016666,2015-01-13,0.0,17.4,27.24,8.16,35.83,1.42,16.93
M01,Gumagaon,21.4125,79.016666,2015-01-14,0.0,18.13,27.75,9.44,35.83,1.31,18.23
M01,Gumagaon,21.4125,79.016666,2015-01-15,0.0,17.55,27.02,8.74,38.34,1.39,17.59
M01,Gumagaon,21.4125,79.016666,2015-01-16,0.0,17.3,27.3,8.65,47.43,1.81,17.2
M01,Gumagaon,21.4125,79.016666,2015-01-17,0.0,17.58,27.22,10.29,43.88,2.12,17.3
M01,Gumagaon,21.4125,79.016666,2015-01-18,0.0,17.19,27.71,8.9,37.41,1.96,17.48
M01,Gumagaon,21.4125,79.016666,2015-01-19,0.0,17.39,27.68,9.09,33.89,1.69,18.5
M01,Gumagaon,21.4125,79.016666,2015-01-20,0.0,17.45,27.12,9.08,40.17,2.03,16.56
M01,Gumagaon,21.4125,79.016666,2015-01-21,0.02,18.43,27.18,11.55,45.29,2.67,14.4
M01,Gumagaon,21.4125,79.016666,2015-01-22,0.19,19.69,26.94,11.95,50.88,2.05,14.08
M01,Gumagaon,21.4125,79.016666,2015-01-23,0.72,21.01,27.58,15.71,55.54,1.32,13.44
M01,Gumagaon,21.4125,79.016666,2015-01-24,1.88,20.76,27.33,14.67,62.23,1.94,11.91
M01,Gumagaon,21.4125,79.016666,2015-01-25,0.22,21.33,29.29,14.39,55.17,2.44,14.42
M01,Gumagaon,21.4125,79.016666,2015-01-26,0.09,21.52,28.52,15.6,52.98,2.07,13.8
M01,Gumagaon,21.4125,79.016666,2015-01-27,0.21,22.19,29.25,16.08,50.76,1.56,15.41
M01,Gumagaon,21.4125,79.016666,2015-01-28,0.56,21.55,28.95,14.79,55.08,1.49,14.85
M01,Gumagaon,21.4125,79.016666,2015-01-29,0.53,20.28,28.03,14.12,60.96,1.7,12.89
M01,Gumagaon,21.4125,79.016666,2015-01-30,0.12,18.8,28.41,11.95,42.23,2.62,17.99
M01,Gumagaon,21.4125,79.016666,2015-01-31,0.0,18.67,29.94,9.18,27.55,1.55,20.12
M01,Gumagaon,21.4125,79.016666,2015-02-01,0.0,19.32,29.63,10.36,27.62,1.78,20.38
M01,Gumagaon,21.4125,79.016666,2015-02-02,0.0,19.69,30.03,10.5,34.37,2.24,19.43
M01,Gumagaon,21.4125,79.016666,2015-02-03,0.0,20.94,31.08,11.85,39.08,1.84,19.01
M01,Gumagaon,21.4125,79.016666,2015-02-04,0.0,22.58,31.45,14.64,38.96,1.13,17.21
M01,Gumagaon,21.4125,79.016666,2015-02-05,0.0,22.39,30.57,14.95,43.61,1.8,14.67
